rank,ticker,company,sector,market_cap,latest_fiscal_year,status
124,GGL,"Ghani Global Holdings Limited","Chemical",8428046240,2026,"basis 2025 FY"
125,EPQL,"Engro Powergen Qadirpur Limited","Power Generation & Distribution",8256900000,2026,"ok"
126,CSAP,"Crescent Steel & Allied Products Limited","Engineering",8193333100,2026,"basis 2025 FY"
127,SHSML,"Shahmurad Sugar Mills Limited","Sugar & Allied Industries",8130685260,2026,"basis 2025 FY"
128,FZCM,"Fazal Cloth Mills Limited","Textile Composite",7799400000,2026,"ok"
129,SLGL,"Secure Logistics-Trax Group Limited","Transport",7773664080,2026,"ok"
130,PREMA,"At-Tahur Limited","Food & Personal Care Products",7750767790,2026,"basis 2025 FY"
131,AHL,"Arif Habib Limited","Inv. Banks / Inv. Cos. / Securities Cos.",7614723600,2026,"ok"
132,MSOT,"Masood Textile Mills Limited","Apparel",7607250000,2026,"ok"
133,BATA,"Bata Pakistan Limited","Leather & Tanneries",7544955600,2026,"ok"
134,BGL,"Baluchistan Glass Limited","Glass & Ceramics",7540827390,2026,"ok"
135,TATM,"Tata Textile Mills Limited","Textile Spinning",7276930080,2026,"basis 2025 FY"
136,BTL,"Blessed Textiles Limited","Textile Composite",7261728000,2026,"basis 2025 FY"
137,CRTM,"The Crescent Textile Mills Limited","Textile Composite",7210000000,2026,"basis 2025 FY"
138,MEHT,"Mehmood Textile Mills Limited","Textile Composite",6950100000,2026,"ok"
139,SURC,"Suraj Cotton Mills Limited","Textile Composite",6930951270,2026,"ok"
140,KSBP,"KSB Pumps Company Limited","Engineering",6842805000,2026,"ok"
141,DYNO,"Dynea Pakistan Limited","Chemical",6586090150,2026,"ok"
142,TPLP,"TPL Properties Limited","Property",6531051240,2026,"ok"
143,BECO,"Beco Steel Limited","Engineering",6510546770,2026,"ok"
144,WAHDAT,"Wahdat Poultry Farm Limited","Food & Personal Care Products",6406078180,2026,"basis 2026 Q2"
145,QTECH,"Quantum Data Technologies Limited","Technology & Communication",6306157490,2026,"basis 2025 FY"
146,WTL,"Worldcall Telecom Limited","Technology & Communication",6178038590,2026,"ok"
147,DFML,"Dewan Farooque Motors Limited","Automobile Assembler",6176828810,2025,"STALE FY2025"
148,HTL,"Hi-Tech Lubricants Limited","Oil & Gas Marketing Companies",6165380590,2026,"ok"
149,BIFO,"Biafo Industries Limited","Chemical",6160548620,2026,"ok"
150,AGIL,"Agriauto Industries Limited","Automobile Parts & Accessories",6011640000,2026,"ok"
151,IMAGE,"Image Pakistan Limited","Apparel",5936625880,2026,"basis 2025 FY"
152,LPL,"Lalpir Power Limited","Power Generation & Distribution",5823444010,2026,"ok"
153,DOL,"Descon Oxychem Limited","Chemical",5758522660,2026,"basis 2025 FY"
154,TRIPF,"Tri-Pack Films Limited","Miscellaneous",5751712000,2026,"ok"
155,MFL,"Matco Foods Limited","Food & Personal Care Products",5626760090,2026,"ok"
156,KML,"Kohinoor Mills Limited","Textile Composite",5605302310,2026,"ok"
157,ADMM,"Artistic Denim Mills Limited","Textile Composite",5604480000,2026,"basis 2025 FY"
158,REWM,"Reliance Weaving Mills Limited","Textile Composite",5545968840,2026,"basis 2025 FY"
159,STL,"Supernet Technologies Limited","Technology & Communication",5472450300,2026,"basis 2025 FY"
160,IBLHL,"IBL HealthCare Limited","Pharmaceuticals",5450457320,2026,"basis 2025 FY"
161,MRNS,"Mehran Sugar Mills Limited","Sugar & Allied Industries",5229973630,2026,"basis 2025 FY"
162,PICT,"Pakistan International Container","Transport",5059248600,2026,"ok"
163,OCTOPUS,"Octopus Digital Limited","Technology & Communication",5059134690,2026,"ok"
164,NRSL,"Nimir Resins Limited","Chemical",5028204740,2026,"basis 2025 FY"
165,CPPL,"Cherat Packaging Limited","Paper, Board & Packaging",4863389930,2026,"ok"
166,AGHA,"Agha Steel Ind.Ltd","Engineering",4796690930,2026,"basis 2025 FY"
167,BNL,"Bunnys Limited","Food & Personal Care Products",4743174170,2026,"basis 2025 FY"
168,BRRG,"B.R.R Guardian Limited","Property",4599360950,2026,"ok"
169,TPLT,"TPL Trakker Limited","Technology & Communication",4556111050,2026,"basis 2025 FY"
170,JSGCL,"JS Global Capital Limited","Inv. Banks / Inv. Cos. / Securities Cos.",4552163790,2026,"ok"
171,LIVEN,"Liven Pharma Limited","Pharmaceuticals",4540831540,2026,"ok"
172,OTSU,"Otsuka Pakistan Limited","Pharmaceuticals",4533023000,2026,"basis 2025 FY"
